受访者 ID,年龄 ,Gender, 地区 ,答题时长(秒),Q1_整体满意度,Q2_推荐意愿,Q3_使用频率,Q4_是否购买,Q5_界面满意度,Q6_功能满意度,Q7_体验评分,Q8_性价比评分,Q9_复购意愿
R02810,26-35,女,北京,78,非常满意,肯定会,偶尔,是,满意,可能会,7,8,从不
R02811,18-25,男,广州,274,非常满意,可能会,总是,否,满意,不确定,8,6,很少
R02812,18-25,女,北京,92,满意,肯定不会,偶尔,否,非常满意,肯定不会,7,10,总是
R02813,26-35,女,广州,533,非常满意,不确定,从不,是,一般,可能会,8,8,很少
R02814,26-35,男,北京,231,非常不满意,不确定,经常,否,满意,肯定不会,8,4,经常
R02815,36-45,女,广州,555,不满意,可能会,经常,否,不满意,可能不会,4,7,偶尔
R02816,26-35,男,上海,244,满意,肯定会,从不,是,满意,不确定,3,7,很少
R02817,56+,女,杭州,461,满意,可能会,偶尔,否,一般,可能会,6,3,偶尔
R02818,18-25,其他,深圳,490,一般,肯定会,经常,是,不满意,可能会,4,1,经常
R02819,26-35,男,上海,137,满意,可能不会,总是,是,不满意,可能不会,10,1,很少
R02820,26-35,女,广州,564,一般,肯定会,偶尔,是,满意,可能不会,1,9,偶尔
R02821,36-45,女,成都,363,不满意,肯定会,很少,是,不满意,可能不会,5,7,经常
R02822,18-25,男,广州,318,非常满意,可能会,从不,是,一般,不确定,4,8,总是
R02823,26-35,女,杭州,228,不满意,可能不会,很少,是,不满意,可能会,9,5,偶尔
R02824,46-55,女,北京,107,满意,可能会,偶尔,否,满意,不确定,7,6,偶尔
R02825,18-25,女,杭州,439,满意,可能会,经常,否,满意,可能不会,8,6,经常
R02826,18-25,男,北京,346,满意,肯定会,总是,否,非常不满意,可能会,10,10,经常
R02827,46-55,男,杭州,282,满意,肯定会,经常,是,非常满意,不确定,4,1,偶尔
R02828,56+,男,北京,355,一般,不确定,偶尔,是,一般,可能会,3,1,经常
R02829,18-25,男,上海,93,非常不满意,不确定,总是,是,一般,不确定,4,10,偶尔
R02830,46-55,男,广州,357,满意,可能不会,偶尔,是,一般,可能不会,3,4,很少
R02831,26-35,男,上海,417,满意,可能不会,经常,是,一般,可能不会,4,1,偶尔
R02832,36-45,女,上海,114,满意,可能会,偶尔,否,满意,可能会,1,9,总是
R02833,36-45,女,杭州,587,满意,肯定会,从不,是,一般,肯定不会,5,4,很少
R02834,26-35,女,成都,386,满意,肯定会,总是,是,不满意,不确定,7,9,很少
R02835,26-35,女,广州,157,非常满意,肯定会,总是,否,非常满意,肯定会,6,3,很少
R02836,46-55,男,北京,215,非常满意,可能会,经常,是,非常不满意,不确定,1,7,偶尔
R02837,18-25,男,上海,598,满意,不确定,总是,否,不满意,不确定,4,6,总是
R02838,18-25,女,北京,378,满意,可能会,很少,是,非常满意,不确定,6,8,偶尔
R02839,46-55,女,深圳,448,满意,肯定会,经常,是,一般,可能会,10,6,很少
R02840,26-35,女,成都,455,非常不满意,可能会,总是,否,满意,可能会,1,2,偶尔
R02841,18-25,其他,广州,77,非常满意,可能会,经常,是,一般,可能会,2,6,经常
R02842,46-55,女,北京,159,满意,肯定会,经常,否,一般,可能不会,5,8,总是
R02843,46-55,男,北京,214,一般,可能会,从不,是,满意,可能会,6,4,很少
R02844,26-35,男,上海,577,满意,可能不会,很少,否,满意,可能会,1,7,很少
R02845,18-25,女,成都,581,不满意,可能会,经常,是,满意,可能会,4,1,总是
R02846,26-35,男,成都,119,一般,可能不会,经常,是,一般,可能会,4,7,很少
R02847,18-25,男,杭州,505,满意,可能会,总是,是,满意,肯定会,4,5,偶尔
R02848,26-35,女,广州,361,非常满意,不确定,经常,是,不满意,可能会,8,5,很少
R02849,46-55,女,杭州,476,一般,不确定,经常,是,一般,可能不会,5,9,偶尔
R02850,26-35,女,北京,236,满意,不确定,偶尔,是,满意,肯定不会,5,6,偶尔
R02851,18-25,男,广州,218,一般,可能会,总是,是,非常满意,可能不会,9,2,很少
R02852,36-45,女,广州,536,一般,可能会,偶尔,是,不满意,不确定,5,5,总是
R02853,18-25,女,上海,538,满意,可能会,经常,是,一般,可能会,9,6,总是
R02854,18-25,女,上海,177,满意,不确定,偶尔,是,不满意,不确定,3,9,偶尔
R02855,18-25,男,上海,326,满意,肯定不会,经常,是,满意,不确定,8,5,经常
R02856,26-35,男,杭州,599,非常满意,可能会,偶尔,是,满意,可能不会,9,4,很少
R02857,46-55,男,上海,527,满意,可能会,经常,是,满意,可能会,3,5,偶尔
R02858,18-25,男,杭州,353,非常满意,肯定会,经常,是,非常满意,可能会,6,4,偶尔
R02859,36-45,女,杭州,558,满意,肯定会,偶尔,是,一般,可能不会,10,2,从不
R02860,18-25,男,成都,162,一般,肯定会,总是,是,满意,肯定会,3,10,偶尔
R02861,26-35,男,深圳,300,非常满意,不确定,偶尔,是,非常满意,肯定不会,2,3,偶尔
R02862,26-35,女,深圳,135,不满意,可能会,偶尔,是,一般,可能会,6,4,经常
R02863,26-35,男,上海,64,非常满意,可能不会,偶尔,是,满意,肯定会,1,9,从不
R02864,18-25,男,上海,256,非常不满意,肯定会,总是,是,满意,可能不会,1,7,偶尔
R02865,26-35,男,北京,159,满意,肯定会,偶尔,否,非常不满意,可能会,4,8,偶尔
R02866,18-25,女,上海,389,不满意,可能会,偶尔,是,不满意,肯定不会,3,4,经常
R02867,18-25,女,深圳,454,一般,不确定,偶尔,否,满意,不确定,9,1,经常
R02868,46-55,女,杭州,183,非常满意,肯定会,经常,是,一般,肯定不会,4,8,偶尔
R02869,26-35,男,上海,466,非常满意,可能会,经常,否,满意,可能会,1,4,从不
R02870,36-45,男,深圳,132,不满意,肯定会,从不,否,满意,可能不会,3,4,总是
R02871,46-55,女,上海,538,一般,可能会,很少,是,非常不满意,肯定会,2,10,总是
R02872,36-45,男,成都,120,满意,肯定会,经常,是,满意,可能会,3,10,偶尔
R02873,56+,女,广州,218,满意,可能会,偶尔,否,一般,可能会,7,4,经常
R02874,36-45,男,广州,559,满意,不确定,偶尔,否,非常不满意,可能不会,4,4,偶尔
R02875,26-35,男,北京,597,满意,可能会,总是,否,满意,不确定,4,9,经常
R02876,26-35,男,深圳,159,非常满意,可能不会,经常,是,非常满意,可能会,6,4,从不
R02877,26-35,男,北京,213,满意,可能不会,经常,否,满意,肯定会,10,5,很少
R02878,46-55,男,成都,539,满意,可能会,很少,是,一般,可能会,9,10,经常
R02879,26-35,女,深圳,158,一般,肯定会,总是,是,非常不满意,肯定会,2,8,经常
R02880,26-35,男,北京,585,一般,肯定会,偶尔,否,一般,不确定,1,10,总是
R02881,18-25,女,广州,490,一般,肯定会,经常,是,满意,可能会,8,3,总是
R02882,26-35,男,深圳,117,满意,可能会,偶尔,否,不满意,肯定会,5,4,总是
R02883,18-25,其他,杭州,389,满意,可能会,经常,否,一般,肯定会,6,7,偶尔
R02884,46-55,男,杭州,334,满意,可能会,从不,是,满意,可能会,3,4,偶尔
R02885,36-45,男,上海,216,一般,不确定,经常,否,一般,不确定,1,1,很少
R02886,18-25,男,广州,413,不满意,可能会,偶尔,否,非常满意,不确定,5,7,很少
R02887,56+,女,成都,428,非常满意,可能会,偶尔,是,一般,不确定,5,8,偶尔
R02888,26-35,女,成都,115,非常满意,可能会,偶尔,是,满意,肯定不会,10,2,总是
R02889,36-45,女,上海,118,非常不满意,可能会,偶尔,是,一般,可能会,2,9,从不
R02890,56+,女,北京,330,非常满意,可能不会,经常,是,非常不满意,可能会,10,8,总是
R02891,56+,女,杭州,527,一般,肯定会,经常,否,满意,可能会,9,8,偶尔
R02892,18-25,男,北京,520,一般,可能会,很少,是,满意,肯定会,9,6,从不
R02893,36-45,男,上海,496,满意,不确定,总是,是,不满意,不确定,9,8,很少
R02894,26-35,女,深圳,106,不满意,不确定,偶尔,是,一般,可能会,4,5,偶尔
R02895,46-55,女,上海,581,一般,可能会,经常,否,一般,不确定,5,2,经常
R02896,46-55,女,成都,378,一般,不确定,经常,是,不满意,肯定不会,10,6,经常
R02897,18-25,女,广州,127,满意,可能会,经常,是,满意,肯定会,6,10,偶尔
R02898,56+,男,北京,346,一般,可能会,总是,否,一般,肯定会,3,5,很少
R02899,18-25,女,上海,531,非常满意,肯定会,经常,是,非常不满意,可能不会,7,8,经常
R02900,46-55,男,上海,531,一般,肯定会,偶尔,否,满意,肯定会,10,9,偶尔
R02901,36-45,男,杭州,218,满意,肯定会,很少,是,满意,不确定,10,4,总是
R02902,26-35,男,深圳,373,满意,可能会,总是,是,一般,可能会,2,7,经常
R02903,46-55,男,深圳,152,满意,可能会,偶尔,是,一般,可能会,9,1,偶尔
R02904,46-55,女,成都,253,不满意,可能会,经常,是,非常不满意,可能会,10,1,经常
R02905,18-25,男,深圳,88,非常满意,不确定,从不,否,非常不满意,不确定,8,5,很少
R02906,26-35,男,杭州,369,非常满意,可能会,经常,否,一般,可能会,6,10,总是
R02907,46-55,男,深圳,156,满意,可能会,从不,是,满意,不确定,4,2,经常
R02908,36-45,男,北京,307,一般,肯定会,很少,否,满意,肯定会,6,10,经常
R02909,46-55,男,成都,266,一般,可能会,经常,否,不满意,不确定,8,2,总是
R02910,18-25,男,成都,452,非常满意,肯定会,偶尔,否,一般,肯定会,5,10,很少
R02911,36-45,女,上海,481,一般,可能会,从不,是,一般,可能会,1,3,偶尔
R02912,56+,女,成都,136,非常不满意,可能会,经常,否,一般,可能会,5,4,很少
R02913,26-35,女,上海,485,非常不满意,可能会,总是,否,非常满意,可能不会,6,7,偶尔
R02914,26-35,女,成都,473,满意,可能会,经常,否,非常不满意,可能不会,3,2,偶尔
R02915,18-25,女,广州,150,一般,可能会,经常,否,非常满意,肯定不会,3,4,经常
R02916,56+,其他,成都,579,一般,不确定,经常,否,满意,可能不会,1,3,经常
R02917,46-55,男,北京,311,一般,可能会,很少,是,非常不满意,不确定,6,4,从不
R02918,26-35,女,上海,475,非常满意,肯定会,总是,否,非常不满意,不确定,9,10,很少
R02919,26-35,女,北京,432,非常满意,不确定,偶尔,是,非常不满意,不确定,9,4,很少
R02920,26-35,女,北京,434,非常满意,可能会,经常,是,非常不满意,可能会,9,5,总是
R02921,18-25,男,深圳,509,一般,肯定会,经常,是,非常满意,可能会,8,4,经常
R02922,18-25,男,成都,267,非常满意,肯定不会,经常,否,不满意,可能会,1,10,经常
R02923,18-25,女,北京,70,一般,可能会,总是,是,一般,不确定,6,7,经常
R02924,26-35,男,广州,461,一般,不确定,经常,否,非常满意,肯定不会,7,6,偶尔
R02925,18-25,女,杭州,466,非常满意,可能会,经常,否,不满意,可能不会,5,3,从不
R02926,46-55,男,北京,305,非常不满意,可能会,经常,是,非常满意,可能会,10,8,经常
R02927,18-25,男,深圳,163,满意,不确定,经常,是,非常不满意,可能会,2,5,总是
R02928,18-25,男,深圳,210,非常满意,肯定会,很少,是,不满意,可能不会,3,9,偶尔
R02929,36-45,女,深圳,183,一般,可能会,很少,是,一般,可能不会,5,10,很少
R02930,46-55,女,成都,354,一般,可能不会,经常,否,非常不满意,肯定不会,4,3,偶尔
R02931,46-55,女,北京,235,满意,可能会,偶尔,是,非常不满意,可能会,8,10,很少
R02932,26-35,女,上海,298,一般,肯定会,经常,否,不满意,肯定会,7,3,经常
R02933,18-25,女,上海,591,一般,可能会,经常,是,非常满意,可能会,10,8,偶尔
R02934,26-35,女,成都,431,一般,可能不会,偶尔,是,非常不满意,不确定,10,1,偶尔
R02935,46-55,女,广州,303,一般,可能不会,总是,否,满意,不确定,8,3,偶尔
R02936,36-45,女,北京,561,满意,肯定会,很少,是,不满意,不确定,10,9,经常
R02937,46-55,女,北京,521,非常满意,不确定,经常,是,一般,肯定会,3,2,偶尔
R02938,46-55,男,杭州,230,满意,不确定,总是,否,非常满意,可能不会,2,4,偶尔
R02939,56+,男,北京,393,一般,不确定,偶尔,否,一般,不确定,1,10,总是
R02940,26-35,女,杭州,358,非常满意,肯定会,从不,否,不满意,不确定,2,3,偶尔
R02941,56+,女,深圳,224,一般,肯定会,偶尔,是,一般,肯定不会,10,4,经常
R02942,26-35,女,广州,292,非常满意,可能会,偶尔,是,非常满意,可能会,10,4,很少
R02943,18-25,女,上海,530,一般,可能会,很少,是,满意,可能会,4,4,经常
R02944,26-35,女,成都,517,满意,肯定会,偶尔,否,满意,可能会,10,1,偶尔
R02945,18-25,男,深圳,93,满意,可能会,偶尔,是,满意,肯定不会,3,6,经常
R02946,18-25,男,深圳,548,不满意,不确定,经常,是,非常不满意,肯定不会,7,2,经常
R02947,56+,女,深圳,370,满意,不确定,经常,是,满意,可能会,3,10,很少
R02948,36-45,男,广州,315,满意,肯定会,偶尔,是,满意,可能会,10,3,经常
R02949,56+,女,上海,202,满意,肯定会,总是,是,不满意,可能会,6,5,总是
R02950,36-45,女,杭州,165,满意,可能会,从不,否,一般,可能会,3,5,总是
R02951,18-25,女,北京,206,满意,可能会,偶尔,否,非常不满意,可能会,10,5,总是
R02952,56+,男,上海,380,满意,不确定,从不,是,满意,可能不会,5,6,经常
R02953,36-45,女,深圳,219,非常不满意,不确定,总是,否,不满意,不确定,2,5,总是
R02954,56+,女,深圳,365,非常满意,可能会,总是,否,非常满意,可能不会,2,6,很少
R02955,36-45,女,杭州,332,一般,可能不会,经常,是,满意,不确定,4,1,经常
R02956,18-25,男,北京,433,一般,肯定会,从不,否,不满意,不确定,7,5,经常
R02957,26-35,女,成都,348,满意,可能会,偶尔,否,满意,不确定,3,9,偶尔
R02958,18-25,女,北京,298,非常不满意,肯定会,经常,是,非常不满意,肯定不会,2,1,很少
R02959,26-35,女,北京,361,非常满意,肯定会,经常,是,一般,可能会,3,2,很少
R02960,36-45,男,北京,581,满意,可能会,经常,是,一般,肯定不会,1,1,偶尔
R02961,18-25,男,北京,256,满意,可能会,经常,否,不满意,肯定不会,10,10,很少
R02962,36-45,女,深圳,484,一般,肯定会,从不,是,一般,可能会,5,4,很少
R02963,56+,男,杭州,416,一般,肯定不会,从不,否,满意,可能会,1,7,偶尔
R02964,56+,男,上海,500,满意,肯定会,经常,是,一般,可能不会,2,6,偶尔
R02965,26-35,其他,成都,419,不满意,可能会,总是,是,满意,肯定不会,4,9,偶尔
R02966,56+,女,杭州,167,非常满意,可能不会,从不,否,不满意,可能会,2,5,很少
R02967,56+,男,广州,438,满意,不确定,从不,是,非常满意,肯定会,1,5,总是
R02968,18-25,男,广州,570,一般,不确定,很少,否,非常不满意,可能不会,2,3,很少
R02969,36-45,男,成都,509,不满意,可能会,经常,否,一般,可能会,3,5,总是
R02970,56+,女,广州,589,满意,肯定会,经常,是,满意,不确定,4,4,偶尔
R02971,56+,女,深圳,161,满意,肯定会,经常,否,满意,可能会,10,2,总是
R02972,18-25,男,深圳,335,满意,肯定不会,经常,否,不满意,可能会,10,8,总是
R02973,26-35,女,深圳,173,非常满意,可能会,经常,否,满意,可能会,8,5,经常
R02974,56+,女,广州,403,满意,肯定会,偶尔,是,一般,可能会,5,6,经常
R02975,18-25,男,北京,212,满意,不确定,很少,是,非常满意,不确定,10,7,经常
R02976,36-45,男,成都,345,满意,肯定会,从不,是,满意,可能会,3,8,很少
R02977,18-25,女,成都,337,一般,可能会,偶尔,是,满意,可能会,8,8,偶尔
R02978,56+,女,广州,71,满意,可能会,总是,是,非常不满意,可能会,4,6,很少
R02979,18-25,男,北京,284,一般,肯定会,总是,是,不满意,可能会,4,7,偶尔
R02980,46-55,男,杭州,456,满意,肯定不会,偶尔,否,不满意,可能会,6,2,经常
R02981,18-25,其他,上海,450,满意,肯定会,从不,否,非常满意,不确定,10,7,经常
R02982,36-45,女,上海,149,非常满意,肯定不会,偶尔,否,满意,可能会,3,8,偶尔
R02983,36-45,男,深圳,555,一般,可能会,经常,是,非常满意,可能不会,10,10,经常
R02984,46-55,男,深圳,414,非常不满意,可能会,偶尔,否,一般,可能会,6,6,从不
R02985,26-35,女,北京,87,满意,不确定,总是,否,非常不满意,可能不会,7,10,很少
R02986,26-35,女,杭州,109,满意,可能会,经常,是,非常满意,肯定会,7,5,偶尔
R02987,18-25,女,上海,139,满意,可能会,经常,否,一般,不确定,7,1,偶尔
R02988,18-25,女,北京,244,满意,肯定会,经常,否,一般,肯定不会,2,9,很少
R02989,26-35,男,上海,377,满意,可能会,偶尔,是,满意,可能不会,2,8,偶尔
R02990,18-25,男,上海,155,非常满意,肯定会,偶尔,是,非常不满意,可能会,1,5,很少
R02991,18-25,女,北京,565,一般,肯定会,经常,是,满意,不确定,3,3,经常
R02992,26-35,男,杭州,113,满意,不确定,经常,是,不满意,可能会,4,7,偶尔
R02993,36-45,男,深圳,499,满意,可能会,偶尔,否,非常满意,可能会,6,2,总是
R02994,56+,女,上海,314,一般,可能会,总是,是,满意,可能不会,1,9,很少
R02995,46-55,男,成都,118,满意,肯定不会,经常,是,一般,肯定不会,1,2,从不
R02996,26-35,女,成都,206,非常满意,肯定不会,很少,是,非常满意,可能会,7,1,经常
R02997,26-35,男,北京,85,满意,不确定,经常,是,满意,可能不会,7,7,很少
R02998,26-35,男,成都,78,满意,可能会,偶尔,否,非常不满意,可能不会,10,5,经常
R02999,18-25,男,广州,468,满意,可能会,经常,是,不满意,不确定,8,3,偶尔
R03000,26-35,女,成都,79,一般,肯定会,经常,否,不满意,不确定,3,9,经常
R03001,46-55,男,成都,482,一般,不确定,很少,是,满意,不确定,9,9,经常
R03002,36-45,女,深圳,316,非常满意,可能会,总是,否,满意,不确定,5,6,很少
R03003,36-45,男,北京,124,满意,不确定,经常,是,一般,可能会,5,5,偶尔
R03004,18-25,女,深圳,289,满意,肯定会,总是,是,满意,肯定不会,1,9,偶尔
R03005,18-25,女,上海,407,一般,可能会,经常,是,满意,可能不会,4,5,很少
R03006,46-55,女,深圳,76,非常不满意,不确定,经常,否,满意,可能会,3,4,偶尔
R03007,26-35,男,北京,140,一般,肯定会,总是,是,满意,不确定,7,1,经常
R03008,26-35,男,成都,478,非常不满意,肯定不会,总是,是,一般,肯定会,8,9,经常
R03009,56+,男,深圳,377,不满意,可能会,偶尔,是,满意,可能不会,6,5,经常
R03010,18-25,男,广州,102,满意,不确定,偶尔,是,满意,肯定会,9,7,很少
R03011,18-25,男,杭州,263,满意,可能会,总是,是,满意,可能会,5,5,经常
R03012,26-35,女,北京,460,非常满意,可能不会,经常,否,非常满意,可能不会,9,4,总是
R03013,36-45,男,上海,412,满意,不确定,偶尔,是,满意,肯定会,10,1,经常
R03014,26-35,女,深圳,599,满意,可能会,总是,是,非常不满意,可能会,4,4,总是
R03015,46-55,男,杭州,343,非常满意,可能不会,经常,是,非常满意,可能会,6,5,经常
R03016,18-25,男,成都,580,一般,肯定会,经常,是,满意,可能会,5,3,总是
R03017,26-35,女,上海,84,满意,肯定会,很少,否,非常不满意,可能不会,6,1,经常
R03018,36-45,男,深圳,116,满意,可能会,偶尔,是,非常不满意,可能会,4,6,偶尔
R03019,26-35,女,深圳,452,满意,可能会,偶尔,是,一般,不确定,5,3,总是
R03020,18-25,其他,北京,543,一般,肯定会,经常,是,一般,可能不会,10,6,偶尔
R03021,56+,男,上海,125,满意,可能会,经常,否,不满意,可能会,4,7,偶尔
R03022,18-25,女,深圳,410,不满意,可能会,经常,否,满意,不确定,1,7,很少
R03023,46-55,男,广州,460,非常不满意,可能会,偶尔,是,一般,肯定不会,1,1,经常
R03024,18-25,女,上海,218,一般,可能会,经常,否,满意,肯定会,7,3,偶尔
R03025,18-25,其他,上海,315,满意,肯定会,偶尔,是,一般,肯定不会,4,5,总是
R03026,18-25,女,北京,542,满意,不确定,很少,是,一般,肯定会,3,9,经常
R03027,18-25,女,上海,227,满意,可能会,经常,否,非常满意,可能不会,4,7,偶尔
R03028,36-45,男,北京,457,一般,可能会,偶尔,否,一般,可能不会,5,10,经常
R03029,36-45,男,深圳,582,满意,肯定会,很少,是,满意,不确定,7,5,经常
R03030,36-45,男,深圳,233,一般,肯定不会,经常,是,一般,肯定会,8,7,偶尔
R03031,26-35,男,深圳,265,满意,肯定会,经常,否,非常不满意,可能会,8,7,经常
R03032,26-35,女,广州,228,非常满意,可能不会,总是,是,一般,可能会,9,8,很少
R03033,18-25,其他,上海,421,满意,可能会,偶尔,否,满意,可能不会,3,10,经常
R03034,18-25,女,北京,537,非常满意,不确定,偶尔,是,满意,可能会,1,3,经常
R03035,26-35,女,成都,325,非常满意,可能会,从不,否,满意,不确定,10,9,经常
R03036,46-55,女,成都,107,满意,可能会,很少,否,一般,可能会,8,3,偶尔
R03037,18-25,男,杭州,536,不满意,可能会,经常,是,满意,可能会,6,7,很少
R03038,26-35,男,上海,473,一般,可能会,很少,否,满意,可能不会,9,8,很少
R03039,26-35,男,深圳,358,非常不满意,可能会,很少,是,满意,可能不会,7,7,总是
R03040,26-35,男,成都,183,满意,不确定,经常,是,满意,可能会,10,7,偶尔
R03041,36-45,男,成都,462,一般,可能会,经常,是,一般,肯定会,3,3,偶尔
R03042,36-45,男,成都,474,满意,肯定会,经常,是,非常满意,不确定,7,8,很少
R03043,18-25,女,杭州,334,满意,可能会,偶尔,是,一般,不确定,3,4,总是
R03044,18-25,女,成都,214,满意,可能不会,总是,否,不满意,可能会,4,8,很少
R03045,18-25,女,广州,409,一般,肯定会,偶尔,否,满意,肯定会,6,6,偶尔
R03046,26-35,男,北京,250,非常满意,肯定会,经常,否,一般,不确定,10,1,偶尔
R03047,18-25,女,深圳,86,满意,可能会,偶尔,否,不满意,肯定会,4,2,经常
R03048,46-55,女,深圳,460,非常满意,不确定,很少,是,一般,不确定,6,6,总是
R03049,26-35,男,杭州,288,非常满意,不确定,经常,否,满意,可能不会,2,1,很少
R03050,26-35,女,上海,405,非常满意,可能会,偶尔,否,满意,不确定,10,10,偶尔
R03051,26-35,女,深圳,519,满意,不确定,经常,是,一般,可能会,3,6,经常
R03052,36-45,男,上海,251,非常不满意,肯定会,经常,是,一般,不确定,4,7,总是
R03053,18-25,女,上海,582,满意,肯定会,总是,是,一般,不确定,5,5,经常
R03054,26-35,女,上海,579,非常满意,肯定不会,偶尔,否,满意,可能会,8,4,经常
R03055,18-25,男,广州,87,一般,可能会,从不,是,非常满意,不确定,10,10,总是
R03056,46-55,男,广州,138,不满意,肯定会,偶尔,是,一般,可能会,6,1,偶尔
R03057,26-35,男,成都,554,满意,不确定,经常,否,满意,可能不会,2,2,很少
R03058,26-35,其他,成都,78,一般,不确定,经常,是,满意,可能会,10,1,很少
R03059,26-35,女,广州,62,满意,肯定会,经常,是,一般,不确定,7,2,偶尔
R03060,26-35,女,广州,122,满意,肯定会,经常,否,非常不满意,可能会,1,1,总是
R03061,18-25,男,成都,394,满意,可能会,总是,是,非常不满意,可能会,4,2,经常
R03062,26-35,男,杭州,340,一般,不确定,从不,是,一般,可能不会,2,2,总是
R03063,18-25,男,广州,412,一般,不确定,经常,否,满意,可能会,8,10,经常
R03064,36-45,女,深圳,170,满意,肯定会,总是,否,满意,可能会,2,4,偶尔
R03065,36-45,男,成都,127,满意,可能会,总是,是,非常不满意,可能会,6,10,偶尔
R03066,18-25,男,成都,268,满意,肯定不会,经常,是,非常满意,肯定不会,9,1,很少
R03067,26-35,女,杭州,144,一般,肯定会,经常,否,一般,可能会,5,4,经常
R03068,26-35,男,北京,432,满意,肯定会,经常,否,一般,可能不会,1,10,偶尔
R03069,56+,女,北京,179,一般,不确定,经常,否,满意,不确定,3,6,总是
R03070,26-35,男,北京,236,非常满意,可能会,总是,是,非常满意,可能会,9,1,总是
R03071,26-35,男,北京,367,非常满意,可能会,偶尔,是,非常满意,不确定,6,2,经常
R03072,46-55,女,北京,275,一般,不确定,经常,否,满意,不确定,5,2,很少
R03073,46-55,女,北京,269,一般,可能会,经常,是,满意,可能会,7,7,偶尔
R03074,26-35,其他,上海,87,满意,可能会,偶尔,是,满意,可能会,9,7,偶尔
R03075,26-35,女,北京,103,一般,肯定会,经常,是,非常不满意,肯定会,9,9,经常
R03076,46-55,女,广州,206,一般,肯定会,经常,否,一般,可能会,10,9,从不
R03077,26-35,女,成都,549,非常不满意,可能会,很少,是,非常不满意,肯定会,9,7,经常
R03078,46-55,男,杭州,373,满意,不确定,从不,是,一般,可能会,4,5,总是
R03079,26-35,男,北京,417,满意,可能不会,偶尔,是,满意,可能会,4,7,很少
R03080,18-25,男,广州,94,非常不满意,肯定会,经常,是,满意,可能不会,3,4,经常
R03081,46-55,女,深圳,578,非常满意,肯定不会,经常,是,一般,不确定,4,10,偶尔
R03082,36-45,女,杭州,390,非常满意,可能会,偶尔,是,不满意,肯定会,10,9,偶尔
R03083,26-35,女,成都,124,非常满意,可能不会,很少,是,一般,可能会,2,8,经常
R03084,46-55,女,广州,172,不满意,肯定会,偶尔,否,不满意,可能会,1,10,偶尔
R03085,46-55,男,上海,411,非常满意,可能不会,经常,否,不满意,不确定,7,10,偶尔
R03086,36-45,女,深圳,150,非常满意,肯定会,从不,是,不满意,可能不会,1,2,偶尔
R03087,36-45,男,上海,450,一般,可能会,总是,否,非常满意,可能不会,9,4,偶尔
R03088,18-25,女,北京,374,不满意,不确定,偶尔,否,不满意,可能会,8,5,经常
R03089,36-45,女,北京,117,一般,不确定,经常,否,满意,可能会,6,10,偶尔
R03090,18-25,女,北京,336,一般,可能会,偶尔,是,不满意,肯定会,8,3,很少
R03091,56+,男,广州,573,满意,可能会,总是,是,非常不满意,肯定会,10,2,总是
R03092,56+,男,杭州,418,满意,肯定会,经常,否,满意,肯定不会,6,6,很少
R03093,46-55,男,杭州,379,满意,可能会,经常,是,一般,可能不会,6,3,很少
R03094,18-25,女,杭州,555,一般,可能会,很少,否,一般,可能会,3,10,偶尔
R03095,26-35,男,北京,225,非常不满意,不确定,从不,否,非常满意,不确定,2,4,经常
R03096,56+,男,深圳,209,非常不满意,可能会,经常,是,不满意,肯定会,2,5,偶尔
R03097,26-35,女,杭州,448,不满意,可能会,从不,是,不满意,可能会,4,1,从不
R03098,56+,女,成都,175,一般,不确定,偶尔,是,不满意,可能不会,8,9,经常
R03099,36-45,男,杭州,88,非常满意,可能会,经常,否,满意,肯定会,8,1,总是
R03100,46-55,男,杭州,189,满意,可能会,经常,是,非常满意,不确定,10,9,总是
R03101,26-35,女,上海,248,一般,可能会,偶尔,否,非常不满意,可能不会,1,8,经常
R03102,46-55,男,北京,356,满意,可能会,很少,是,一般,可能不会,7,9,从不
R03103,46-55,女,成都,101,满意,肯定会,经常,是,一般,可能会,6,3,很少
R03104,18-25,女,广州,157,不满意,肯定会,经常,是,满意,肯定不会,5,3,很少
R03105,26-35,女,杭州,438,非常满意,可能会,很少,否,不满意,可能会,2,5,很少
R03106,26-35,男,成都,174,满意,肯定会,从不,否,满意,可能会,8,5,经常
R03107,26-35,男,上海,483,满意,肯定不会,很少,否,满意,可能会,6,2,经常
R03108,26-35,男,北京,180,一般,可能会,偶尔,是,非常不满意,可能不会,2,6,经常
R03109,26-35,女,深圳,588,满意,不确定,偶尔,是,非常满意,可能会,5,6,经常
R03110,46-55,男,北京,352,满意,可能会,总是,是,满意,不确定,9,8,偶尔
R03111,36-45,男,成都,86,满意,肯定不会,经常,是,非常不满意,肯定会,8,9,偶尔
R03112,36-45,女,上海,374,一般,可能不会,经常,否,满意,可能会,3,5,偶尔
R03113,26-35,女,广州,296,满意,肯定会,偶尔,是,非常不满意,不确定,7,8,很少
R03114,26-35,男,广州,596,不满意,可能不会,很少,是,一般,可能不会,8,8,偶尔
R03115,26-35,女,北京,487,满意,可能会,偶尔,否,一般,可能不会,4,2,经常
R03116,18-25,女,广州,592,不满意,可能会,偶尔,是,满意,可能会,5,6,偶尔
R03117,26-35,女,广州,508,满意,可能会,从不,是,满意,肯定不会,8,1,经常
R03118,36-45,女,上海,442,一般,不确定,总是,是,不满意,可能会,5,2,很少
R03119,56+,女,北京,236,非常满意,可能会,很少,是,满意,不确定,8,3,偶尔
